State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
ANDHRA PRADESH,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,4,3,1,0,8
ARUNACHAL PRADESH,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
ASSAM,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
BIHAR,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
CHHATTISGARH,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
GOA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
GUJARAT,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,4,3,0,7
HARYANA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,5,0,0,0,5
HIMACHAL PRADESH,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
JAMMU & KASHMIR,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
JHARKHAND,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
KARNATAKA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,1,0,0,0,1
KERALA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,3,2,0,0,5
MADHYA PRADESH,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,1,4,0,5
MAHARASHTRA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,2,0,0,0,2
MANIPUR,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
MEGHALAYA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
MIZORAM,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
NAGALAND,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
ORISSA,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,3,0,0,0,3
PUNJAB,TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT),0,0,0,0,0,0
