"STATE/UT","CRIME HEAD","YEAR","Below 18 Years","Between 18-30 Years","Between 30-45 Years","Between 45-60 Years","Above 60 Years","Total"
"ANDHRA PRADESH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"GOA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,2,3,0,0,5
"HARYANA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"KERALA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,2,0,0,2
"MADHYA PRADESH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,2,2,0,4
"MANIPUR","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"ORISSA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,4,0,0,0,4
"RAJASTHAN","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,1,0,0,0,1
"SIKKIM","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"TRIPURA","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,2,2,0,0,4
"UTTARAKHAND","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,2,0,0,0,2
"WEST BENGAL","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,11,9,2,0,22
"A & N ISLANDS","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,4,0,0,4
"D & N HAVELI","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"DELHI","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,0,4,0,0,4
"TOTAL (ALL-INDIA)","TAMPERING COMPUTER SOURCE DOCUMENTS (SECTION 65 IT ACT)",2008,0,11,13,2,0,26
"ANDHRA PRADESH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,1,1,0,0,2
"ARUNACHAL PRADESH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"ASSAM","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"BIHAR","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"GOA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"HARYANA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"KERALA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,1,0,0,0,1
"MADHYA PRADESH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,23,10,1,0,34
"MANIPUR","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"ORISSA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,1,3,0,0,4
"TRIPURA","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,26,14,1,0,41
"A & N ISLANDS","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"D & N HAVELI","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"DELHI","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT)",2008,0,26,14,1,0,41
"ANDHRA PRADESH","HACKING (SECTION 66(2) IT ACT)",2008,0,3,0,0,0,3
"ARUNACHAL PRADESH","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"ASSAM","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"BIHAR","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"GOA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"HARYANA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","HACKING (SECTION 66(2) IT ACT)",2008,0,2,4,0,0,6
"KERALA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","HACKING (SECTION 66(2) IT ACT)",2008,0,1,0,0,0,1
"MAHARASHTRA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"MANIPUR","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"ORISSA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"TRIPURA","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","HACKING (SECTION 66(2) IT ACT)",2008,0,6,4,0,0,10
"A & N ISLANDS","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","HACKING (SECTION 66(2) IT ACT)",2008,0,0,1,0,0,1
"D & N HAVELI","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"DELHI","HACKING (SECTION 66(2) IT ACT)",2008,0,2,2,0,0,4
"LAKSHADWEEP","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","HACKING (SECTION 66(2) IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","HACKING (SECTION 66(2) IT ACT)",2008,0,2,3,0,0,5
