STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
Andhra Pradesh,2013,Antiquity & Art Treasures Act,1972,0,0,7,0,16,0,5,1,0,0,28,1,29
Arunachal Pradesh,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2013,Antiquity & Art Treasures Act,1972,0,0,4,0,0,0,0,0,0,0,4,0,4
Chhattisgarh,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2013,Antiquity & Art Treasures Act,1972,0,0,2,0,9,0,8,0,0,0,19,0,19
Haryana,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2013,Antiquity & Art Treasures Act,1972,0,0,16,0,16,0,3,0,1,0,36,0,36
Kerala,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (State),2013,Antiquity & Art Treasures Act,1972,0,0,29,0,41,0,16,1,1,0,87,1,88
A&N Islands,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
