STATE/UT,CRIME HEAD,Year,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total
ANDHRA PRADESH,Murder,2012,65,3,2054,187,1866,216,919,104,85,10,4989,520,5509
ARUNACHAL PRADESH,Murder,2012,0,0,53,0,52,2,6,0,0,0,111,2,113
ASSAM,Murder,2012,38,0,584,23,738,19,238,2,8,0,1606,44,1650
BIHAR,Murder,2012,60,5,2983,108,2462,145,1202,82,147,4,6854,344,7198
CHHATTISGARH,Murder,2012,64,5,560,43,487,46,228,13,36,8,1375,115,1490
GOA,Murder,2012,3,0,25,2,13,0,4,0,0,0,45,2,47
GUJARAT,Murder,2012,42,1,892,42,710,61,273,25,36,3,1953,132,2085
HARYANA,Murder,2012,13,1,834,39,865,43,323,14,48,3,2083,100,2183
HIMACHAL PRADESH,Murder,2012,9,1,86,6,67,13,16,2,4,2,182,24,206
JAMMU & KASHMIR,Murder,2012,0,0,81,5,171,12,48,5,5,1,305,23,328
JHARKHAND,Murder,2012,16,1,843,37,609,53,209,16,6,0,1683,107,1790
KARNATAKA,Murder,2012,45,2,1170,75,1245,147,540,99,145,19,3145,342,3487
KERALA,Murder,2012,16,0,295,6,376,19,157,8,8,1,852,34,886
MADHYA PRADESH,Murder,2012,184,13,2223,115,1860,155,779,57,111,8,5157,348,5505
MAHARASHTRA,Murder,2012,172,11,2708,181,1770,232,717,156,143,29,5510,609,6119
MANIPUR,Murder,2012,0,0,18,1,24,0,3,2,1,0,46,3,49
MEGHALAYA,Murder,2012,2,0,51,0,37,1,3,1,2,0,95,2,97
MIZORAM,Murder,2012,0,0,9,0,10,0,6,0,1,0,26,0,26
NAGALAND,Murder,2012,0,0,15,0,12,0,4,0,0,0,31,0,31
ODISHA,Murder,2012,53,6,922,92,829,126,347,37,35,3,2186,264,2450
PUNJAB,Murder,2012,10,0,437,51,565,74,375,23,16,2,1403,150,1553
RAJASTHAN,Murder,2012,71,8,847,54,777,61,297,19,40,1,2032,143,2175
SIKKIM,Murder,2012,0,0,7,0,0,0,0,0,0,0,7,0,7
TAMIL NADU,Murder,2012,72,0,1831,110,1402,173,687,66,74,5,4066,354,4420
TRIPURA,Murder,2012,2,0,73,3,52,4,29,1,3,0,159,8,167
UTTAR PRADESH,Murder,2012,116,4,6795,113,4795,106,1968,14,72,0,13746,237,13983
UTTARAKHAND,Murder,2012,9,1,127,2,179,9,18,2,0,0,333,14,347
WEST BENGAL,Murder,2012,42,3,1461,79,1293,99,453,51,47,6,3296,238,3534
TOTAL (STATES),Murder,2012,1104,65,27984,1374,23266,1816,9849,799,1073,105,63276,4159,67435
A & N ISLANDS,Murder,2012,4,0,5,2,7,1,2,0,0,0,18,3,21
CHANDIGARH,Murder,2012,3,0,28,1,27,1,6,0,0,0,64,2,66
D & N HAVELI,Murder,2012,0,0,10,0,1,0,2,0,0,0,13,0,13
DAMAN & DIU,Murder,2012,0,0,9,0,2,0,0,0,0,0,11,0,11
DELHI,Murder,2012,97,3,604,14,222,8,28,5,6,0,957,30,987
LAKSHADWEEP,Murder,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Murder,2012,5,0,104,2,27,1,3,0,1,0,140,3,143
TOTAL (UTs),Murder,2012,109,3,760,19,286,11,41,5,7,0,1203,38,1241
TOTAL (ALL-INDIA),Murder,2012,1213,68,28744,1393,23552,1827,9890,804,1080,105,64479,4197,68676
ANDHRA PRADESH,ATTEMPT TO COMMIT MURDER ,2012,25,1,1720,121,1780,231,813,72,69,4,4407,429,4836
ARUNACHAL PRADESH,ATTEMPT TO COMMIT MURDER ,2012,0,0,24,0,4,0,2,0,0,0,30,0,30
ASSAM,ATTEMPT TO COMMIT MURDER ,2012,5,0,243,0,395,3,129,2,2,0,774,5,779
BIHAR,ATTEMPT TO COMMIT MURDER ,2012,158,20,5217,332,3613,303,2236,126,457,18,11681,799,12480
CHHATTISGARH,ATTEMPT TO COMMIT MURDER ,2012,38,5,417,20,318,19,161,7,16,3,950,54,1004
GOA,ATTEMPT TO COMMIT MURDER ,2012,0,0,55,0,39,3,4,0,1,0,99,3,102
GUJARAT,ATTEMPT TO COMMIT MURDER ,2012,39,3,1109,35,987,32,412,17,40,2,2587,89,2676
HARYANA,ATTEMPT TO COMMIT MURDER ,2012,33,0,1013,16,813,14,385,2,33,2,2277,34,2311
