Area_Name,Year,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs,Total
ANDAMAN & NICOBAR ISLANDS,2001,6,0,0,6,0,0,6,0,18
ANDAMAN & NICOBAR ISLANDS,2002,4,0,0,2,2,0,4,0,12
ANDAMAN & NICOBAR ISLANDS,2003,4,0,0,2,0,0,4,2,12
ANDAMAN & NICOBAR ISLANDS,2004,20,0,2,14,2,2,20,0,60
ANDAMAN & NICOBAR ISLANDS,2005,8,0,0,4,4,0,8,0,24
ANDAMAN & NICOBAR ISLANDS,2006,12,0,4,2,2,0,12,4,36
ANDAMAN & NICOBAR ISLANDS,2007,6,0,0,6,0,0,6,0,18
ANDAMAN & NICOBAR ISLANDS,2008,24,0,2,14,6,2,24,0,72
ANDAMAN & NICOBAR ISLANDS,2009,36,0,6,14,10,2,36,4,108
ANDAMAN & NICOBAR ISLANDS,2010,48,0,2,24,16,2,48,4,144
ANDHRA PRADESH,2001,1742,28,276,508,656,160,1742,114,5226
ANDHRA PRADESH,2002,2004,16,134,70,1418,296,2004,70,6012
ANDHRA PRADESH,2003,1892,14,270,430,858,254,1892,66,5676
ANDHRA PRADESH,2004,2032,14,290,326,1032,260,2032,110,6096
ANDHRA PRADESH,2005,1870,12,212,354,980,248,1870,64,5610
ANDHRA PRADESH,2006,2098,20,256,476,1072,182,2098,92,6294
ANDHRA PRADESH,2007,2140,14,220,402,1144,256,2140,104,6420
ANDHRA PRADESH,2008,2514,22,252,474,1320,348,2514,98,7542
ANDHRA PRADESH,2009,2376,28,334,416,1284,232,2376,82,7128
ANDHRA PRADESH,2010,2724,30,266,566,1498,304,2724,60,8172
ARUNACHAL PRADESH,2001,66,0,0,2,56,8,66,0,198
ARUNACHAL PRADESH,2002,76,0,0,6,60,10,76,0,228
ARUNACHAL PRADESH,2003,62,0,10,8,38,0,62,6,186
ARUNACHAL PRADESH,2004,84,0,18,0,62,0,84,4,252
ARUNACHAL PRADESH,2005,70,0,10,4,50,0,70,6,210
ARUNACHAL PRADESH,2006,74,0,0,0,68,6,74,0,222
