Year,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
2001,32150,136,2880,7822,15762,4496,32156,1060
2002,32746,132,1708,2650,21460,5984,32756,822
2003,31694,120,1862,3584,19746,5622,31712,778
2004,36466,162,2180,4008,22686,6378,36478,1064
2005,36718,222,2348,4688,21618,6762,36752,1114
2006,38696,188,2162,6728,22624,6004,38730,1024
2007,41474,266,2710,6304,23968,7060,41542,1234
2008,42934,272,2662,6992,24598,7168,42970,1278
2009,42794,190,3520,5824,25624,6248,42826,1420
2010,44344,272,2808,7140,25498,7526,44386,1142
