STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
A & N ISLANDS,2001,6,4,0,38,2,18,0,68
A & N ISLANDS,2002,4,2,0,34,6,8,0,54
A & N ISLANDS,2003,4,4,0,18,4,14,0,44
A & N ISLANDS,2004,20,6,0,12,6,10,0,54
A & N ISLANDS,2005,8,2,0,22,2,10,0,44
A & N ISLANDS,2006,12,10,0,28,8,14,0,72
A & N ISLANDS,2007,6,18,2,42,4,36,0,108
A & N ISLANDS,2008,24,26,4,48,6,52,0,160
A & N ISLANDS,2009,36,28,2,60,14,42,0,182
A & N ISLANDS,2010,48,16,0,62,20,18,0,164
A & N ISLANDS,2011,26,24,0,30,6,10,0,96
A & N ISLANDS,2012,24,14,4,34,8,10,0,94
A & N ISLANDS,2013,54,24,2,90,16,18,0,204
A & N ISLANDS,2014,64,34,6,82,10,28,0,224
ANDHRA PRADESH,2001,1742,1530,840,7088,4542,11582,14,27338
ANDHRA PRADESH,2002,2004,1708,898,7598,4048,14036,0,30292
ANDHRA PRADESH,2003,1892,1862,932,8256,4572,16334,10,33858
ANDHRA PRADESH,2004,2032,2060,1024,7634,4620,16776,4,34150
ANDHRA PRADESH,2005,1870,1990,886,7190,5016,17392,6,34350
ANDHRA PRADESH,2006,2098,2658,1038,9068,4822,18328,0,38012
ANDHRA PRADESH,2007,2140,3128,1226,8812,6632,22670,0,44608
ANDHRA PRADESH,2008,2514,2792,1112,9460,7102,20612,0,43592
ANDHRA PRADESH,2009,2376,3052,1092,10294,7040,22594,0,46448
ANDHRA PRADESH,2010,2724,3062,1176,9268,9124,24160,0,49514
ANDHRA PRADESH,2011,2884,3224,1198,9698,7316,26752,0,51072
ANDHRA PRADESH,2012,2682,2806,1008,9632,7428,26778,0,50334
ANDHRA PRADESH,2013,3270,3190,984,13860,9404,30168,0,60876
ANDHRA PRADESH,2014,1922,1442,430,9094,5298,12724,0,30910
ARUNACHAL PRADESH,2001,66,110,0,156,6,22,0,360
ARUNACHAL PRADESH,2002,76,76,0,136,4,26,0,318
ARUNACHAL PRADESH,2003,62,102,0,86,0,28,0,278
ARUNACHAL PRADESH,2004,84,82,0,122,0,8,0,296
ARUNACHAL PRADESH,2005,70,78,0,134,0,18,0,300
ARUNACHAL PRADESH,2006,74,102,2,126,4,28,0,336
ARUNACHAL PRADESH,2007,96,88,0,144,2,40,0,370
ARUNACHAL PRADESH,2008,84,94,0,144,2,26,0,350
ARUNACHAL PRADESH,2009,118,56,0,116,12,26,0,328
ARUNACHAL PRADESH,2010,94,92,0,168,2,24,0,380
ARUNACHAL PRADESH,2011,84,120,0,102,0,36,0,342
ARUNACHAL PRADESH,2012,92,116,2,134,4,52,0,400
ARUNACHAL PRADESH,2013,150,172,0,186,6,58,0,572
ARUNACHAL PRADESH,2014,166,182,2,242,6,84,0,682
ASSAM,2001,1634,2140,118,1700,8,2496,0,8096
ASSAM,2002,1940,2552,140,1968,14,3388,0,10002
ASSAM,2003,2190,2702,120,1756,12,3616,0,10396
ASSAM,2004,2342,3104,148,1766,22,3890,0,11272
ASSAM,2005,2476,2912,198,1798,38,4412,6,11840
ASSAM,2006,2488,3088,210,2580,20,5096,0,13482
ASSAM,2007,2874,2942,200,1578,20,6000,0,13614
ASSAM,2008,2876,3578,206,2544,4,6956,0,16164
ASSAM,2009,3262,4184,340,2684,20,8796,2,19288
ASSAM,2010,3442,5534,350,2800,40,10820,0,22986
ASSAM,2011,3400,6384,242,2386,16,10492,4,22924
ASSAM,2012,3432,6720,280,3680,10,12814,4,26940
ASSAM,2013,3874,8444,340,4818,28,17272,4,34780
ASSAM,2014,3960,7790,376,6198,2,19252,2,37580
BIHAR,2001,1776,1036,1718,1124,42,3116,166,8978
BIHAR,2002,2080,1488,1854,1242,12,3154,76,9906
BIHAR,2003,1970,1348,1818,1376,22,3760,74,10368
BIHAR,2004,2780,1994,2058,1408,26,5358,70,13694
BIHAR,2005,2294,1858,2028,902,26,3148,148,10404
BIHAR,2006,2464,2168,2376,1060,106,3378,84,11636
BIHAR,2007,3110,2520,2344,1706,24,3270,112,13086
BIHAR,2008,2604,3578,2420,1998,42,3984,44,14670
BIHAR,2009,1858,3972,2590,1452,24,5064,62,15022
BIHAR,2010,1590,5138,2514,1068,32,4542,16,14900
BIHAR,2011,1868,6100,2826,1580,22,5214,20,17630
BIHAR,2012,1854,7578,2550,236,74,7372,8,19672
BIHAR,2013,2256,8838,2364,662,104,9066,14,23304
BIHAR,2014,2254,9470,2746,1144,138,9344,10,25106
CHANDIGARH,2001,36,100,6,48,30,72,0,292
CHANDIGARH,2002,36,94,2,72,56,112,0,372
CHANDIGARH,2003,36,56,2,22,8,186,0,310
CHANDIGARH,2004,38,86,12,40,36,146,0,358
CHANDIGARH,2005,66,90,6,62,18,150,0,392
