States/UTs,Year,Residence_Dacoity_Cases reported,Residence_Robbery_Cases reported,Residence_Burglary_Cases reported,Residence_Theft_Cases reported,Highways_Dacoity_Cases reported,Highways_Robbery_Cases reported,Highways_Burglary_Cases reported,Highways_Theft_Cases reported,RiverOrSea_Dacoity_Cases reported,RiverOrSea_Robbery_Cases reported,RiverOrSea_Burglary_Cases reported,RiverOrSea_Theft_Cases reported,Railways_Dacoity_Cases reported,Railways_Robbery_Cases reported,Railways_Burglary_Cases reported,Railways_Theft_Cases reported,Bank_Dacoity_Cases reported,Bank_Robbery_Cases reported,Bank_Burglary_Cases reported,Bank_Theft_Cases reported,CommEst_Dacoity_Cases reported,CommEst_Robbery_Cases reported,CommEst_Burglary_Cases reported,CommEst_Theft_Cases reported,OtherPlaces_Dacoity_Cases reported,OtherPlaces_Robbery_Cases reported,OtherPlaces_Burglary_Cases reported,OtherPlaces_Theft_Cases reported,Total_Dacoity_Cases reported,Total_Robbery_Cases reported,Total_Burglary_Cases reported,Total_Theft_Cases reported
Andhra Pradesh,2014,27,124,3530,5757,25,155,1,2063,0,1,0,6,2,11,0,1499,0,0,4,70,2,4,453,1047,18,90,583,4997,75,433,4719,15617
Arunachal Pradesh,2014,3,8,103,173,2,23,0,84,0,0,0,0,0,0,0,1,0,1,1,0,2,6,51,61,5,23,67,158,12,61,224,498
Assam,2014,144,315,2293,4503,25,74,65,317,0,1,0,0,0,0,0,12,0,0,0,0,24,110,647,1919,69,529,1892,5981,267,1038,4954,12737
Bihar,2014,174,117,3693,6655,213,1224,29,1849,0,12,0,51,12,22,8,1182,8,9,2,165,12,14,594,1916,118,200,346,10874,538,1600,4674,22888
Chhattisgarh,2014,27,25,1985,1235,5,92,374,477,0,0,0,1,0,5,0,181,0,4,7,415,2,60,275,728,24,216,588,3057,58,405,3247,6098
Goa,2014,3,7,225,210,2,5,0,41,0,0,1,15,0,0,0,53,0,1,4,4,1,3,92,154,7,16,35,646,13,32,372,1154
Gujarat,2014,125,413,3037,4822,52,230,52,662,0,1,0,15,3,16,4,889,0,4,9,24,20,66,638,1218,94,474,663,6594,296,1209,4477,14337
Haryana,2014,20,98,4000,8083,72,236,36,1076,0,0,0,1,1,31,27,414,1,0,16,13,18,105,1694,3718,60,390,840,6616,172,874,6717,20314
Himachal Pradesh,2014,0,4,535,88,2,3,6,164,0,0,0,0,0,0,0,1,0,0,6,0,0,1,145,58,2,7,122,327,4,16,884,652
Jammu & Kashmir,2014,3,13,548,251,0,0,0,18,0,0,0,0,0,0,2,8,0,0,1,0,0,0,215,39,3,76,587,1452,6,89,1367,1773
